华视IPV4,#genre#
青海卫视,http://182.107.188.104:8888/newlive/live/hls/39/live.m3u8

宁夏卫视,http://182.107.188.104:8888/newlive/live/hls/40/live.m3u8

陕西卫视,http://182.107.188.104:8888/newlive/live/hls/41/live.m3u8

江西卫视,http://182.107.188.104:8888/newlive/live/hls/42/live.m3u8

天津卫视,http://182.107.188.104:8888/newlive/live/hls/43/live.m3u8

辽宁卫视,http://182.107.188.104:8888/newlive/live/hls/44/live.m3u8

黑龙江卫视,http://182.107.188.104:8888/newlive/live/hls/45/live.m3u8

东南卫视,http://182.107.188.104:8888/newlive/live/hls/46/live.m3u8

海南卫视,http://182.107.188.104:8888/newlive/live/hls/47/live.m3u8

山西卫视,http://182.107.188.104:8888/newlive/live/hls/48/live.m3u8

内蒙古卫视,http://182.107.188.104:8888/newlive/live/hls/49/live.m3u8

兵团卫视,http://182.107.188.104:8888/newlive/live/hls/50/live.m3u8

河北卫视,http://182.107.188.104:8888/newlive/live/hls/51/live.m3u8

厦门卫视,http://182.107.188.104:8888/newlive/live/hls/52/live.m3u8

三沙卫视,http://182.107.188.104:8888/newlive/live/hls/53/live.m3u8

卡酷少儿,http://182.107.188.104:8888/newlive/live/hls/54/live.m3u8

CHC高清电影,http://182.107.188.104:8888/newlive/live/hls/55/live.m3u8

CHC家庭影院,http://182.107.188.104:8888/newlive/live/hls/56/live.m3u8

CHC动作电影,http://182.107.188.104:8888/newlive/live/hls/57/live.m3u8

北京卫视,http://61.51.122.50:8888/newlive/live/hls/18/live.m3u8

湖南卫视,http://61.51.122.50:8888/newlive/live/hls/19/live.m3u8

黑龙江卫视,http://61.51.122.50:8888/newlive/live/hls/20/live.m3u8

深圳卫视,http://61.51.122.50:8888/newlive/live/hls/21/live.m3u8

江苏卫视,http://61.51.122.50:8888/newlive/live/hls/22/live.m3u8
东方卫视,http://61.51.122.50:8888/newlive/live/hls/23/live.m3u8

东方卫视,http://61.51.122.50:8888/newlive/live/hls/36/live.m3u8

浙江卫视,http://61.51.122.50:8888/newlive/live/hls/24/live.m3u8

湖北卫视,http://61.51.122.50:8888/newlive/live/hls/25/live.m3u8

天津卫视,http://61.51.122.50:8888/newlive/live/hls/26/live.m3u8

广东卫视,http://61.51.122.50:8888/newlive/live/hls/27/live.m3u8

山东卫视,http://61.51.122.50:8888/newlive/live/hls/28/live.m3u8

辽宁卫视,http://61.51.122.50:8888/newlive/live/hls/29/live.m3u8

安徽卫视,http://61.51.122.50:8888/newlive/live/hls/30/live.m3u8

河南卫视,http://61.51.122.50:8888/newlive/live/hls/31/live.m3u8

四川卫视,http://61.51.122.50:8888/newlive/live/hls/32/live.m3u8

江西卫视,http://61.51.122.50:8888/newlive/live/hls/33/live.m3u8

贵州卫视,http://61.51.122.50:8888/newlive/live/hls/34/live.m3u8

深圳卫视,http://61.51.122.50:8888/newlive/live/hls/35/live.m3u8

重庆卫视,http://61.51.122.50:8888/newlive/live/hls/37/live.m3u8

东南卫视,http://61.51.122.50:8888/newlive/live/hls/38/live.m3u8

河北卫视,http://61.51.122.50:8888/newlive/live/hls/39/live.m3u8

广西卫视,http://61.51.122.50:8888/newlive/live/hls/40/live.m3u8

吉林卫视,http://61.51.122.50:8888/newlive/live/hls/41/live.m3u8

陕西卫视,http://61.51.122.50:8888/newlive/live/hls/42/live.m3u8

山西卫视,http://61.51.122.50:8888/newlive/live/hls/43/live.m3u8

内蒙古卫视,http://61.51.122.50:8888/newlive/live/hls/44/live.m3u8

青海卫视,http://61.51.122.50:8888/newlive/live/hls/45/live.m3u8

海南卫视,http://61.51.122.50:8888/newlive/live/hls/46/live.m3u8

云南卫视,http://61.51.122.50:8888/newlive/live/hls/47/live.m3u8

宁夏卫视,http://61.51.122.50:8888/newlive/live/hls/48/live.m3u8

西藏卫视,http://61.51.122.50:8888/newlive/live/hls/49/live.m3u8

新建卫视,http://61.51.122.50:8888/newlive/live/hls/50/live.m3u8

甘肃卫视,http://61.51.122.50:8888/newlive/live/hls/51/live.m3u8

卡酷少儿,http://61.51.122.50:8888/newlive/live/hls/52/live.m3u8

金鹰卡通,http://61.51.122.50:8888/newlive/live/hls/53/live.m3u8

华数1,http://61.51.122.50:8888/newlive/live/hls/54/live.m3u8

华数2,http://61.51.122.50:8888/newlive/live/hls/55/live.m3u8

华数3,http://61.51.122.50:8888/newlive/live/hls/56/live.m3u8

华数3,http://61.51.122.50:8888/newlive/live/hls/57/live.m3u8



IPV4央卫测试,#genre#


CCTV-1HD,http://sx.liuyun.wang:88/zb/migu.php?id=cctv1
CCTV-1HD,http://sx.liuyun.wang:88/zb/migu.php?id=cctv1b
CCTV-2HD,http://sx.liuyun.wang:88/zb/migu.php?id=cctv2
CCTV-3HD,http://sx.liuyun.wang:88/zb/migu.php?id=cctv3
CCTV-4HD,http://sx.liuyun.wang:88/zb/migu.php?id=cctv4
CCTV-4欧洲,http://sx.liuyun.wang:88/zb/migu.php?id=cctv4o
CCTV-4美洲,http://sx.liuyun.wang:88/zb/migu.php?id=cctv4a
CCTV-5HD,http://sx.liuyun.wang:88/zb/migu.php?id=cctv5
CCTV-5HD2,http://sx.liuyun.wang:88/zb/migu.php?id=cctv5b
CCTV-5+HD,http://sx.liuyun.wang:88/zb/migu.php?id=cctv5p
CCTV-5+HD,http://sx.liuyun.wang:88/zb/migu.php?id=cctv5p2
CCTV-6HD,http://sx.liuyun.wang:88/zb/migu.php?id=cctv6
CCTV-7HD,http://sx.liuyun.wang:88/zb/migu.php?id=cctv7
CCTV-8HD,http://sx.liuyun.wang:88/zb/migu.php?id=cctv8
CCTV-9HD,http://sx.liuyun.wang:88/zb/migu.php?id=cctv9
CCTV-10HD,http://sx.liuyun.wang:88/zb/migu.php?id=cctv10
CCTV-11HD,http://sx.liuyun.wang:88/zb/migu.php?id=cctv11
CCTV-12HD,http://sx.liuyun.wang:88/zb/migu.php?id=cctv12
CCTV-13HD,http://sx.liuyun.wang:88/zb/migu.php?id=cctv13
CCTV-14HD,http://sx.liuyun.wang:88/zb/migu.php?id=cctv14
CCTV-15HD,http://sx.liuyun.wang:88/zb/migu.php?id=cctv15
CCTV-17HD,http://sx.liuyun.wang:88/zb/migu.php?id=cctv17
CGTN西语,http://sx.liuyun.wang:88/zb/migu.php?id=cgtne
CGTN阿语,http://sx.liuyun.wang:88/zb/migu.php?id=cgtna
CHC家庭影院,http://sx.liuyun.wang:88/zb/migu.php?id=chcjtyy
东方卫视HD,http://sx.liuyun.wang:88/zb/migu.php?id=dfws
东方卫视HD2,http://sx.liuyun.wang:88/zb/migu.php?id=dfws2
重庆卫视,http://sx.liuyun.wang:88/zb/migu.php?id=cqws
吉林卫视,http://sx.liuyun.wang:88/zb/migu.php?id=jlws
辽宁卫视HD,http://sx.liuyun.wang:88/zb/migu.php?id=lnws
内蒙古卫视,http://sx.liuyun.wang:88/zb/migu.php?id=nmws
宁夏卫视,http://sx.liuyun.wang:88/zb/migu.php?id=nxws
甘肃卫视,http://sx.liuyun.wang:88/zb/migu.php?id=gsws
青海卫视,http://sx.liuyun.wang:88/zb/migu.php?id=qhws
江西卫视HD,http://sx.liuyun.wang:88/zb/migu.php?id=jxws
陕西卫视FHD,http://sx.liuyun.wang:88/zb/migu.php?id=sxwsb
山东卫视HD,http://sx.liuyun.wang:88/zb/migu.php?id=sdws
湖北卫视HD,http://sx.liuyun.wang:88/zb/migu.php?id=hubws
湖南卫视HD,http://sx.liuyun.wang:88/zb/migu.php?id=hunws
江苏卫视HD,http://sx.liuyun.wang:88/zb/migu.php?id=jsws
广东卫视HD,,http://sx.liuyun.wang:88/zb/migu.php?id=gdws
广东卫视HD2,,http://sx.liuyun.wang:88/zb/migu.php?id=gdws2
大湾区卫视,http://sx.liuyun.wang:88/zb/migu.php?id=dwqws
新疆卫视,http://sx.liuyun.wang:88/zb/migu.php?id=xjws
西藏卫视,http://sx.liuyun.wang:88/zb/migu.php?id=xzws
海南卫视,http://sx.liuyun.wang:88/zb/migu.php?id=hinws


💞IPV6,#genre#
CCTV1 综合,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001022/index.m3u8
CCTV2 财经,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001220/index.m3u8
CCTV3 综艺,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001186/index.m3u8
CCTV4 中文国际,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001221/index.m3u8
CCTV5 体育,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001187/index.m3u8
CCTV5+ 体育赛事,http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000001334/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
CCTV6 电影,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001188/index.m3u8
CCTV7 国防军事,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001236/index.m3u8
CCTV8 电视剧,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001189/index.m3u8
CCTV9 纪录,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001237/index.m3u8
CCTV10 科教,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001238/index.m3u8
CCTV11 戏曲,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001309/index.m3u8
CCTV12 社会与法,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001239/index.m3u8
CCTV13 新闻,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001328/index.m3u8
CCTV14 少儿,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001240/index.m3u8
CCTV15 音乐,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001338/index.m3u8
CCTV16 奥林匹克,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001248/index.m3u8
CCTV17 农业农村,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001241/index.m3u8
CCTV16 奥林匹克 4K,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001258/index.m3u8
CCTV4K 超高清,http://[2409:8087:2001:20:2800:0:df6e:eb26]:80/ott.mobaibox.com/PLTV/3/224/3221228472/index.m3u8
CCTV8K 超高清,http://[2409:8087:2001:20:2800:0:df6e:eb02]:80/wh7f454c46tw2749731958_105918260/ott.mobaibox.com/PLTV/3/224/3221228165/index.m3u8?icpid=3&RTS=1681529690&from=40&popid=40&hms_devid=2039&prioritypopid=40&vqe=3
CHC动作电影,http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000002055/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
CHC家庭影院,http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000002085/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
CHC高清电影,http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000002065/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
凤凰中文,http://[2409:8087:2001:20:2800:0:df6e:eb24]:80/ott.mobaibox.com/PLTV/3/224/3221228527/index.m3u8
凤凰资讯,http://[2409:8087:2001:20:2800:0:df6e:eb27]:80/ott.mobaibox.com/PLTV/3/224/3221228524/index.m3u8
凤凰香港,http://[2409:8087:2001:20:2800:0:df6e:eb1d]:80/ott.mobaibox.com/PLTV/1/224/3221228530/1.m3u8
北京卫视,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001029/index.m3u8
湖南卫视,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001026/index.m3u8
东方卫视,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001013/index.m3u8
四川卫视,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001130/index.m3u8
天津卫视,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001036/index.m3u8
安徽卫视,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001037/index.m3u8
山东卫视,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001028/index.m3u8
广东卫视,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001032/index.m3u8
广西卫视,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001224/index.m3u8
江苏卫视,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001033/index.m3u8
江西卫视,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001034/index.m3u8
河北卫视,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001229/index.m3u8
河南卫视,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001222/index.m3u8
浙江卫视,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001023/index.m3u8
海南卫视,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001183/index.m3u8
深圳卫视,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001030/index.m3u8
湖北卫视,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001027/index.m3u8
山西卫视,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001070/index.m3u8
东南卫视,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001201/index.m3u8
贵州卫视,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001184/index.m3u8
辽宁卫视,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001035/index.m3u8
重庆卫视,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001129/index.m3u8
黑龙江卫视,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001031/index.m3u8
内蒙古卫视,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001068/index.m3u8
宁夏卫视,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001074/index.m3u8
陕西卫视,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001067/index.m3u8
甘肃卫视,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001298/index.m3u8
吉林卫视,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001225/index.m3u8
云南卫视,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001223/index.m3u8
三沙卫视,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001185/index.m3u8
青海卫视,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001450/index.m3u8
新疆卫视,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001065/index.m3u8
西藏卫视,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001072/index.m3u8
兵团卫视,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001066/index.m3u8
延边卫视,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001470/index.m3u8
厦门卫视,http://[2409:8087:7000:20::4]:80/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226219/index.m3u8
CETV1,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001020/index.m3u8
CETV2,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001226/index.m3u8
CETV4,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001348/index.m3u8
金色学堂,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001194/index.m3u8
纪实人文,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001019/index.m3u8
生活时尚,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001199/index.m3u8
乐游频道,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001200/index.m3u8
都市剧场,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001203/index.m3u8
欢笑剧场,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001193/index.m3u8
北京纪实科教,http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000001329/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
卡酷少儿,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001245/index.m3u8
金鹰纪实,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001230/index.m3u8
金鹰卡通,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001460/index.m3u8
茶友频道,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001234/index.m3u8
快乐垂钓,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001235/index.m3u8
嘉佳卡通,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001227/index.m3u8
动漫秀场,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001196/index.m3u8
哈哈炫动,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001232/index.m3u8
游戏风云,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001192/index.m3u8
家庭理财,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001278/index.m3u8
财富天下,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001219/index.m3u8
中国天气,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001102/index.m3u8
兵器科技,http://[2409:8087:7001:20:2::3]:80/dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226975/index.m3u8
怀旧剧场,http://[2409:8087:7001:20:2::3]:80/dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226972/index.m3u8
世界地理,http://[2409:8087:7001:20:2::3]:80/dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226947/index.m3u8
文化精品,http://[2409:8087:7001:20:2::3]:80/dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226981/index.m3u8
央视台球,http://[2409:8087:7001:20:2::3]:80/dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226956/index.m3u8
央视高网,http://[2409:8087:7001:20:2::3]:80/dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226978/index.m3u8
风云剧场,http://[2409:8087:7001:20:2::3]:80/dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226950/index.m3u8
风云音乐,http://[2409:8087:7001:20:2::3]:80/dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226953/index.m3u8
第一剧场,http://[2409:8087:7001:20:2::3]:80/dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226959/index.m3u8
女性时尚,http://[2409:8087:7001:20:2::3]:80/dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226969/index.m3u8
风云足球,http://[2409:8087:7001:20:2::3]:80/dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226984/index.m3u8
电视指南,http://[2409:8087:7001:20:2::3]:80/dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226987/index.m3u8
上海新闻,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001014/index.m3u8
上海都市,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001015/index.m3u8
上海ICS,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001128/index.m3u8
七彩戏剧,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001308/index.m3u8
上海教育,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001268/index.m3u8
五星体育,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001018/index.m3u8
东方影视,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001016/index.m3u8
东方财经,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001318/index.m3u8
法治天地,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001195/index.m3u8
第一财经,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001017/index.m3u8
求索记录,http://[2409:8087:7001:20:1000::95]:6610/000000001000/6000000002000032052/index.m3u8?channelid=wasusyt&Contentid=6000000002000032052&livemode=1&stbId=3
求索动物,http://[2409:8087:7001:20:1000::95]:6610/000000001000/6000000002000010046/index.m3u8?channelid=wasusyt&Contentid=6000000002000010046&livemode=1&stbId=3
求索科学,http://[2409:8087:7001:20:1000::95]:6610/000000001000/6000000002000032344/index.m3u8?channelid=wasusyt&Contentid=6000000002000032344&livemode=1&stbId=3
求索生活,http://[2409:8087:7001:20:1000::95]:6610/000000001000/6000000002000003382/index.m3u8?channelid=wasusyt&Contentid=6000000002000003382&livemode=1&stbId=3
超级综艺,http://[2409:8087:7000:20::4]:80/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226009/index.m3u8
超级体育,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225715/index.m3u8
超级电影,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225717/index.m3u8
超级电视剧,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225716/index.m3u8
武博世界,http://[2409:8087:2001:20:2800:0:df6e:eb19]:80/wh7f454c46tw2554338791_49940138/ott.mobaibox.com/PLTV/3/224/3221227533/index.m3u8
中国功夫,http://[2409:8087:2001:20:2800:0:df6e:eb19]:80/wh7f454c46tw1934355864_2070028581/ott.mobaibox.com/PLTV/3/224/3221227530/index.m3u8
军旅剧场,http://[2409:8087:2001:20:2800:0:df6e:eb06]:80/wh7f454c46tw1807611386_262631246/ott.mobaibox.com/PLTV/3/224/3221227603/index.m3u8
炫舞未来,http://[2409:8087:2001:20:2800:0:df6e:eb09]:80/wh7f454c46tw2582593423_1721070986/ott.mobaibox.com/PLTV/3/224/3221227475/index.m3u8
潮妈辣婆,http://[2409:8087:2001:20:2800:0:df6e:eb19]:80/wh7f454c46tw1705588260_46164741/ott.mobaibox.com/PLTV/3/224/3221227527/index.m3u8
精品体育,http://[2409:8087:2001:20:2800:0:df6e:eb1b]:80/wh7f454c46tw2797725038_2054878207/ott.mobaibox.com/PLTV/3/224/3221227615/index.m3u8
精品纪录,http://[2409:8087:2001:20:2800:0:df6e:eb1a]:80/wh7f454c46tw2837435881_530071425/ott.mobaibox.com/PLTV/3/224/3221227547/index.m3u8
家庭剧场,http://[2409:8087:2001:20:2800:0:df6e:eb06]:80/wh7f454c46tw3441504651_1879058580/ott.mobaibox.com/PLTV/3/224/3221227600/index.m3u8
精品大剧,http://[2409:8087:2001:20:2800:0:df6e:eb1a]:80/wh7f454c46tw2817459161_1430429466/ott.mobaibox.com/PLTV/3/224/3221227618/index.m3u8
军事评论,http://[2409:8087:2001:20:2800:0:df6e:eb18]:80/wh7f454c46tw3373254713_1111569189/ott.mobaibox.com/PLTV/3/224/3221227544/index.m3u8
明星大片,http://[2409:8087:2001:20:2800:0:df6e:eb18]:80/wh7f454c46tw2856695654_946966165/ott.mobaibox.com/PLTV/3/224/3221227594/index.m3u8
东北热剧,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225741/index.m3u8
欢乐剧场,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225742/index.m3u8


央视频,#genre#

CCTV1,http://sx.liuyun.wang:88/zb/ysp.php?id=cctv1
CCTV2,http://sx.liuyun.wang:88/zb/ysp.php?id=cctv2
CCTV3,http://sx.liuyun.wang:88/zb/ysp.php?id=cctv3
CCTV4,http://sx.liuyun.wang:88/zb/ysp.php?id=cctv4
CCTV5,http://sx.liuyun.wang:88/zb/ysp.php?id=cctv5
CCTV5+,http://sx.liuyun.wang:88/zb/ysp.php?id=cctv5p
CCTV6,http://sx.liuyun.wang:88/zb/ysp.php?id=cctv6
CCTV7,http://sx.liuyun.wang:88/zb/ysp.php?id=cctv7
CCTV8,http://sx.liuyun.wang:88/zb/ysp.php?id=cctv8
CCTV9,http://sx.liuyun.wang:88/zb/ysp.php?id=cctv9
CCTV10,http://sx.liuyun.wang:88/zb/ysp.php?id=cctv10
CCTV11,http://sx.liuyun.wang:88/zb/ysp.php?id=cctv11
CCTV12,http://sx.liuyun.wang:88/zb/ysp.php?id=cctv12
CCTV13,http://sx.liuyun.wang:88/zb/ysp.php?id=cctv13
CCTV14,http://sx.liuyun.wang:88/zb/ysp.php?id=cctv14
CCTV15,http://sx.liuyun.wang:88/zb/ysp.php?id=cctv15
CCTV16,http://sx.liuyun.wang:88/zb/ysp.php?id=cctv16
CCTV17,http://sx.liuyun.wang:88/zb/ysp.php?id=cctv17
CCTV4k,http://sx.liuyun.wang:88/zb/ysp.php?id=cctv4k
CCTV8k,http://sx.liuyun.wang:88/zb/ysp.php?id=cctv8k
CCTV兵器科技,http://sx.liuyun.wang:88/zb/ysp.php?id=bqkj
CCTV第一剧场,http://sx.liuyun.wang:88/zb/ysp.php?id=dyjc
CCTV怀旧剧场,http://sx.liuyun.wang:88/zb/ysp.php?id=hjjc
CCTV风云剧场,http://sx.liuyun.wang:88/zb/ysp.php?id=fyjc
